StuffCode,StuffName
855363134,سیفون PE-63mm یک تکه(بالوله 75x200mm)
855362942,سیفون PP-63mm یک تکه(بالوله 75x750mm)
855363142,سیفون PE-63mm یک تکه(بالوله 75x750mm)
855362946,سیفون PP-63mm یک تکه(بالوله 75x900mm)
855363146,سیفون PE-63mm یک تکه(بالوله 75x900mm)
855362954,سیفون PP-75mm یک تکه(بالوله 75x600mm)
855363154,سیفون PE-75mm یک تکه(بالوله 75x600mm)
855362950,سیفون PP-75mm یک تکه(بالوله 75x200mm)
855363150,سیفون PE-75mm یک تکه(بالوله 75x200mm)
855362958,سیفون PP-75mm یک تکه(بالوله 75x750mm)
855363158,سیفون PE-75mm یک تکه(بالوله 75x750mm)
855362962,سیفون PP-75mm یک تکه(بالوله 75x900mm)
855363162,سیفون PE-75mm یک تکه(بالوله 75x900mm)
855362970,سیفون PP-90mm یک تکه(بالوله 90x600mm)
855362966,سیفون PP-90mm یک تکه(بالوله 90x200mm)
855362974,سیفون PP-90mm یک تکه(بالوله 90x750mm)
855362978,سیفون PP-90mm یک تکه(بالوله 90x900mm)
855362986,سیفون PP-110mm یک تکه(بالوله 125x600mm)
855363238,سیفون PE-110mm یک تکه(بالوله 125x600mm)
855362982,سیفون PP-110mm یک تکه(بالوله 125x200mm)
855363234,سیفون PE-110mm یک تکه(بالوله 125x200mm)
855362990,سیفون PP-110mm یک تکه(بالوله 125x750mm)
855363242,سیفون PE-110mm یک تکه(بالوله 125x750mm)
855363246,سیفون PP-110mm یک تکه(بالوله 125x900mm)
855362994,سیفون PE-110mm یک تکه(بالوله 125x900mm)
855362995,سیفون PP-110mm یک تکه بالوله سوکتدار 250mm
855362997,سیفون PP-110mm یک تکه بالوله سوکتدار 350mm
855362999,سیفون PP-110mm یک تکه بالوله سوکتدار 600mm
855363318,سیفون فاضلاب شهری سایز  110mm
855363322,سیفون فاضلاب شهری سایز  125mm
855363326,سیفون فاضلاب شهری سایز  160mm
855363346,عصایی پلی اتیلن پشت بام 63mm
855363354,عصایی پلی اتیلن پشت بام 90mm
855363358,عصایی پلی اتیلن پشت بام 110mm
855362351,انشعاب گیر رزوه ای (4تیکه)110
891771288,مایع روان کننده پوش فیت تیوپی 200cc
